67	C-457D53D9,Workshop on Graph-Theoretic Concepts in Computer Science	9	20
353	C-4515502B,International Conference on Program Comprehension	9	20
422	C-4341ED82,Applications of Natural Language to Data Bases	9	20
376	C-43CD1EFB,Advances in Databases and Information Systems	9	18
159	C-45701BF3,International Conference on Computer Vision	8	464
17	C-47C39427,International Joint Conference on Artificial Intelligence	8	343
112	C-43331058,International Conference on Human-Computer Interaction	8	142
291	C-43F8572D,Advances in Geographic Information Systems	8	108
201	C-47831A49,International Symposium on Experimental Robotics	8	99
595	C-44ABD1BA,World of Wireless, Mobile and Multimedia Networks	8	99
559	C-43CBB3AE,Design and Diagnostics of Electronic Circuits and Systems	8	79
210	C-44616FF1,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming	8	72
513	C-430EDF97,European Conference on Research and Advanced Technology for Digital Libraries	8	66
139	C-4574D9D2,International Conference on Database Theory	8	59
570	C-47C1980F,IEEE International Symposium on Workload Characterization	8	56
536	C-450F627A,Optical Network Design and Modelling	8	54
216	C-44AE44DD,Computer Graphics International	8	50
141	C-47977D8C,International Conference on Logic Programming	8	48
300	C-464C588C,Emerging Technologies and Factory Automation	8	47
543	C-461DDC0A,Symposium on Access Control Models and Technologies	8	44
328	C-42BD758D,Computer Applications in Industry and Engineering	8	35
437	C-43904F00,International Conference in Central Europe on Computer Graphics and Visualization	8	33
606	C-432E26DB,Cryptographic Hardware and Embedded Systems	8	28
659	C-4692A0B1,Electronic Commerce and Web Technologies	8	28
29	C-455C7238,Mathematical Foundations of Computer Science	8	26
9	C-46FBD884,Symposium on the Theory of Computing	8	26
156	C-457D471C,Interactive 3D Graphics and Games	8	25
5	C-448ECA1D,Foundations of Computer Science	8	23
727	C-45AEE573,Source Code Analysis and Manipulation	8	22
91	C-455D09BB,British National Conference on Databases	8	20
607	C-42F14778,Data Engineering for Wireless and Mobile Access	8	19
657	C-46C698EA,Document Engineering	8	18
301	C-44B16F02,European Workshop on Computational Geometry	8	17
351	C-446AF0D7,International Conference on Networking	7	281
694	C-4650D622,Active Media Technology	7	166
27	C-45B7D2EB,International Conference on Computational Linguistics	7	145
620	C-449E1173,Intelligent Virtual Agents	7	66
431	C-478D1F3B,Eurographics Symposium on Rendering Techniques	7	56
629	C-46528AF2,International Workshop on OpenMP	7	49
433	C-42DA9D26,Graphics Recognition	7	43
688	C-453E185C,Wireless Personal Multimedia Communications	7	33
401	C-42ECFC7D,Job Scheduling Strategies for Parallel Processing	7	30
605	C-47C77B94,Content-Based Multimedia Indexing	7	26
175	C-45ED3638,Formal Techniques for (Networked and) Distributed Systems	7	24
77	C-457DC158,Color Imaging Conference	7	24
151	C-462A683B,European Conference on Object-Oriented Programming	7	24
495	C-43613D12,Spring Conference on Computer Graphics	7	18
367	C-479D4D98,Principles and Practice of Constraint Programming	7	17
469	C-439E92D8,Distributed Applications and Interoperable Systems	7	17
278	C-45A0F122,Logic-based Program Synthesis and Transformation	7	16
108	C-42F73407,Foundations of Software Technology and Theoretical Computer Science	7	14
597	C-451C4D3D,Algorithm Engineering and Experimentation	7	12
110	C-444A182D,International Conference on Concurrency Theory	7	11
109	C-4367C1B4,Information Processing in Medical Imaging	6	116
